Queue_Position,Task_ID,Task_Name,Priority,Reclassified_Department,Category,Blocking_Dependencies,Assigned_To,Estimated_Duration,Business_Impact,Complexity_Score,Quick_Win_Flag,Match_Confidence,Matched_Template
409,TSK-054,Connect Task Managers to Libs,High,AI,Integration,,TBD,TBD,Internal,2,No,High,Task-Template-054
410,TSK-055,Task Manager Dashboard with Database,High,AI,Task,,TBD,TBD,Internal,2,No,High,Task-Template-055
411,TSK-057,Frontend OAuth Implementation,High,Development,Development,,TBD,TBD,Internal,2,No,Medium,Task-Template-052
412,TSK-058,Personal Task Manager Web Pages,High,AI,Task,,TBD,TBD,Internal,2,No,High,Task-Template-058
413,TSK-059,Add Rules for AI in Each Folder,High,AI,Task,,TBD,TBD,Internal,2,No,High,Task-Template-059
414,TSK-060,Log Entity Integration,High,AI,Task,,TBD,TBD,Internal,2,No,High,Task-Template-060
415,TSK-061,Keep Logs Longer,High,AI,Task,,TBD,TBD,Internal,2,No,High,Task-Template-061
416,TSK-062,Develop USER Entities,High,AI,Development,PRT-005,TBD,TBD,Internal,2,No,High,Task-Template-062
417,TSK-063,Review TALENTS match with Database,High,HR,Research,,TBD,TBD,Internal,2,No,High,Task-Template-063
418,TSK-064,Prepare DB EXPORT Folder: LIBRARIES,High,AI,Task,,TBD,TBD,Internal,2,No,High,Task-Template-064
419,TSK-065,Text Researches Recognition & Import,High,AI,Research,,TBD,TBD,Internal,2,No,High,Task-Template-065
420,TSK-066,Core System Taxonomy Architecture Review,High,Finance,Research,,TBD,TBD,Internal,2,No,High,Task-Template-066
421,TSK-067,Prompt for Transcription Export,High,AI,Task,,TBD,TBD,Internal,2,No,High,Task-Template-067
422,TSK-068,Prompts for Weekly Analysis,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
423,TSK-069,Prompts for Daily Analysis,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
424,TSK-070,Researches Dashboard,High,AI,Research,,TBD,TBD,Internal,2,No,High,CUSTOM
425,TSK-071,Export Dailies Summaries to ToDo App,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
426,TSK-072,Tasks Templates Execution System,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
427,TSK-073,Steps Confirmation System,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
428,TSK-075,Create More Case Studies,High,AI,Development,,TBD,TBD,Internal,2,No,High,CUSTOM
429,TSK-076,Deep Research Designer Task,High,Design,Research,,Graphic Designer / Visual Designer,2.5 hours (30 min planning + 1.5 hours generation + 30 min refinement),Internal,2,No,High,Task-Template-076
430,ARC-001,Add Employees Folders Relative Path,High,HR,Task,,TBD,TBD,Internal,2,No,High,Project-Template-001
431,ARC-002,Expand Employees Profiles,High,HR,Task,,TBD,TBD,Internal,2,No,High,Project-Template-002
432,ARC-003,Copy All Employees Profiles into Talents,High,HR,Task,,TBD,TBD,Internal,2,No,High,Project-Template-003
433,ARC-004,Consider Entities v2 Architecture,High,AI,Task,,TBD,TBD,Internal,2,No,High,Project-Template-004
434,ARC-006,Block/Fields Sub System (Similarities),High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
435,TSK-066,Core System Taxonomy Architecture Review,High,Finance,Research,,TBD,TBD,Internal,2,No,High,Task-Template-066
436,TSK-067,Prompt for Transcription Export,High,AI,Task,,TBD,TBD,Internal,2,No,High,Task-Template-067
437,TSK-068,Prompts for Weekly Analysis,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
438,TSK-069,Prompts for Daily Analysis,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
439,TSK-070,Researches Dashboard,High,AI,Research,,TBD,TBD,Internal,2,No,High,CUSTOM
440,TSK-071,Export Dailies Summaries to ToDo App,High,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
441,TSK-001,Research to Task Manager integration,High,AI,Research,,TBD,TBD,Internal,2,No,High,Project-Template-001
442,TSK-002,Pack all dailies into Week3 folder,High,AI,Task,,TBD,TBD,Internal,2,No,High,Project-Template-002
443,FIX-001,Resolve duplicates in TSM-006_Workflows,High,AI,Maintenance,,TBD,TBD,Internal,2,No,High,Project-Template-001
444,PRT-004,Single Sign-In Distribution System,High,AI,Infrastructure,,TBD,TBD,Infrastructure,2,No,High,Project-Template-004
445,PRT-006,ID System for Services,High,AI,Infrastructure,,TBD,TBD,Infrastructure,2,No,High,CUSTOM
446,PRT-008,Researches Dashboard,High,AI,Infrastructure,,TBD,TBD,Infrastructure,2,No,High,Project-Template-008
447,PRT-001,Video Processing Automation,High,Video,Automation,,TBD,TBD,Internal,2,No,High,Project-Template-001
448,MLT-029,Search Query System,High,AI,Milestone,PRT-011,TBD,TBD,Internal,2,No,High,CUSTOM
449,MLT-030,Scraper Automation,High,AI,Milestone,PRT-011,TBD,TBD,Internal,2,No,High,CUSTOM
450,MLT-031,Data Processing,High,AI,Milestone,PRT-011,TBD,TBD,Internal,2,No,High,CUSTOM
451,MLT-032,CRM Integration,High,Sales,Milestone,PRT-011,Sales Manager,4-5 hours for 50 emails,Internal,2,No,High,Task-Template-021
452,MLT-033,Testing & Analytics,High,AI,Milestone,PRT-011,TBD,TBD,Internal,2,No,High,CUSTOM
453,MLT-034,Company & Reviews Data Collection,High,AI,Milestone,PRT-012,TBD,TBD,Internal,2,No,High,CUSTOM
454,MLT-035,Semantic Analysis Setup,High,AI,Milestone,PRT-012,TBD,TBD,Internal,2,No,High,CUSTOM
455,MLT-036,Problem Score Algorithm,High,AI,Milestone,PRT-012,TBD,TBD,Internal,2,No,High,CUSTOM
456,MLT-037,Recommendation Engine,High,AI,Milestone,PRT-012,TBD,TBD,Internal,2,No,High,CUSTOM
457,MLT-038,Social Media Integration,High,SMM,Milestone,PRT-012,TBD,TBD,Internal,2,No,Medium,CUSTOM
458,MLT-039,Source Tracking & Documentation,High,AI,Milestone,PRT-012,TBD,TBD,Internal,2,No,High,CUSTOM
459,TSK-AID-2025-11-20-001,Antigravity Installation and Configuration,High,Design,Task,,TBD,TBD,Internal,2,No,High,Project-Template-001
460,TSK-AID-2025-11-20-002,Attendants Automation Infrastructure Setup,High,Sales,Task,,TBD,TBD,Internal,2,No,High,Project-Template-002
461,TSK-AID-2025-11-20-004,Account Microservice Database Schema Design,High,Development,Task,,TBD,TBD,Internal,2,No,High,Project-Template-004
462,TSK-DEV-2025-11-20-002,lead_gen_analytics Bug Fixes,High,Lead Generation,Task,,TBD,TBD,Internal,2,No,High,Project-Template-002
463,TSK-DEV-2025-11-20-006,upload_crms OAuth Implementation,High,Sales,Task,,Sales Manager,4-5 hours for 50 emails,Internal,2,No,High,Task-Template-021
464,TSK-DGN-2025-11-20-001,Game Academy Course Covers Delivery,High,Design,Task,,TBD,TBD,Internal,2,No,High,Project-Template-001
465,TSK-DGN-2025-11-20-002,Client Interview Preparation and Participation,High,Sales,Task,,TBD,TBD,Internal,2,No,High,Project-Template-002
466,TSK-DGN-2025-11-20-003,Black Friday Banner Generation,High,Lead Generation,Task,,TBD,TBD,Internal,2,No,High,Project-Template-003
467,TSK-DGN-2025-11-20-004,Course Visual Materials Creation (Module 1),High,Design,Task,,TBD,TBD,Internal,2,No,High,Project-Template-004
468,TSK-DGN-2025-11-20-007,Lead Generator Training Preparation,High,Lead Generation,Task,,TBD,TBD,Internal,2,No,Medium,Project-Template-002
469,TSK-FIN-2025-11-20-001,Employee Working Hours Verification,High,HR,Task,,TBD,TBD,Internal,2,No,High,Project-Template-001
470,TSK-FIN-2025-11-20-002,December 2025 Financial Processing Sheet Preparation Plan,High,Finance,Task,,TBD,TBD,Internal,2,No,High,Project-Template-002
471,TSK-HRM-2025-11-20-001,Interview Checklist Creation,High,HR,Task,,TBD,TBD,Internal,2,No,High,Project-Template-001
472,TSK-HRM-2025-11-20-002,Candidate Interviews,High,HR,Task,,TBD,TBD,Internal,2,No,High,Project-Template-002
473,TSK-HRM-2025-11-20-003,Candidate Approval and Transfer,High,HR,Task,,TBD,TBD,Internal,2,No,High,Project-Template-003
474,TSK-HRM-2025-11-20-004,Contract Sending,High,HR,Task,,TBD,TBD,Internal,2,No,High,Project-Template-004
475,TSK-LGN-2025-11-20-001,Lead Generation - Job Sites and CRM,High,Lead Generation,Task,,TBD,TBD,Internal,2,No,High,Project-Template-001
476,TSK-LGN-2025-11-20-002,Follow-Up Messages,High,Sales,Task,,TBD,TBD,Internal,2,No,High,Project-Template-002
477,TSK-LGN-2025-11-20-004,Job Sites and Pipeline Building,High,Sales,Task,,TBD,TBD,Internal,2,No,High,Project-Template-004
478,TSK-SLS-2025-11-20-001,Daily Tasks Completion,High,Sales,Task,,TBD,TBD,Internal,2,No,High,Project-Template-001
479,TSK-VID-2025-11-20-001,Video Animation Work,High,Sales,Task,,TBD,TBD,Internal,2,No,High,Project-Template-001
480,TSK-DGN-2025-11-20-006,Runway Animation Course Creation,Medium,Video,Task,,Lead Generator,10-15 minutes,Internal,1,Yes,Medium,Task-Template-006
481,TSK-DGN-2025-11-20-010,Course Module Images and Animation,Medium,Video,Task,,AI Engineer,5-10 minutes with AI assistance,Internal,2,Yes,Medium,Task-Template-010
482,PRT-017,Task Manager Dashboard (Single Task View),Medium,AI,Infrastructure,,TBD,TBD,Infrastructure,2,No,High,CUSTOM
483,PRT-007,Research Integration with Google TODO,Medium,Development,Automation,,TBD,TBD,Internal,2,No,Medium,Project-Template-002
484,TSK-AID-2025-11-20-003,Daily File Processing and Documentation,Medium,AI,Task,,TBD,TBD,Internal,2,No,High,Project-Template-003
485,TSK-AID-2025-11-20-005,Account Microservice Schema Refinement,Medium,Development,Task,,TBD,TBD,Internal,2,No,High,Project-Template-005
486,TSK-DEV-2025-11-20-001,Code Cleanup and Configuration Centralization,Medium,Development,Task,,TBD,TBD,Internal,2,No,High,Project-Template-001
487,TSK-DEV-2025-11-20-003,UI Enhancement - Hover Effects,Medium,Design,Task,,TBD,TBD,Internal,2,No,High,Project-Template-003
488,TSK-DGN-2025-11-20-005,Runway Animation Instruction Creation,Medium,Video,Task,,TBD,TBD,Internal,2,No,High,Project-Template-005
489,TSK-DGN-2025-11-20-008,Antigravity Installation and Setup,Medium,Design,Task,,TBD,TBD,Internal,2,No,High,Project-Template-008
490,TSK-DGN-2025-11-20-009,HTML Course Thumbnail Creation,Medium,AI,Task,,TBD,TBD,Internal,2,No,High,CUSTOM
491,TSK-FIN-2025-11-20-003,n8n Automation Workflow Design,Medium,HR,Task,,TBD,TBD,Internal,2,No,High,Project-Template-003
492,TSK-HRM-2025-11-20-005,Employee Day-Off Request Processing,Medium,HR,Task,,TBD,TBD,Internal,2,No,High,Project-Template-005
493,TSK-LGN-2025-11-20-003,Website Streaming and Account Management,Medium,Sales,Task,,TBD,TBD,Internal,2,No,High,Project-Template-003
494,TSK-LGN-2025-11-20-005,Lead Generation Training,Medium,Lead Generation,Task,,TBD,TBD,Internal,2,No,High,Project-Template-005
495,TSK-SLS-2025-11-20-002,Tomorrow's Priorities Planning,Medium,Sales,Task,,TBD,TBD,Internal,2,No,High,Project-Template-002
496,TSK-VID-2025-11-20-002,Portfolio Organization,Medium,Video,Task,,TBD,TBD,Internal,2,No,High,Project-Template-002
497,TSK-VID-2025-11-20-003,Team Coordination,Medium,Design,Task,,TBD,TBD,Internal,2,No,High,Project-Template-003
498,PRT-010,Affiliation Department Creation,Low,AI,Infrastructure,,TBD,TBD,Infrastructure,2,No,High,CUSTOM
499,PRT-003,Research Integration Pipeline,Low,AI,Infrastructure,,TBD,TBD,Infrastructure,2,No,High,Project-Template-003
500,TSK-DEV-2025-11-20-004,Antigravity IDE Analysis,Low,Development,Task,,TBD,TBD,Internal,2,No,High,Project-Template-004
501,TSK-DEV-2025-11-20-005,SSH Authentication Setup,Low,Development,Task,,TBD,TBD,Internal,2,No,High,Project-Template-005
